key_0,lineloc,stage_filtered,z,underwater,z_normalized,nice_datetimes
2021-07-10 18:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jul 10
2021-07-10 21:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 10
2021-07-11 00:00:00,353.0,,315.3441526797566,0.0,0.39868153493227965,Jul 11
2021-07-11 03:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 11
2021-07-11 06:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 11
2021-07-11 09:00:00,328.0,,316.5293610933438,0.0,1.583889948519527,Jul 11
2021-07-11 12:00:00,,,,,,Jul 11
2021-07-11 15:00:00,347.0,,315.6286026990175,0.0,0.6831315541932099,Jul 11
2021-07-11 18:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 11
2021-07-11 21:00:00,345.0,,315.7234193721045,0.0,0.7779482272802056,Jul 11
2021-07-12 00:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 12
2021-07-12 03:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jul 12
2021-07-12 06:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 12
2021-07-12 09:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 12
2021-07-12 12:00:00,,,,,,Jul 12
2021-07-12 15:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 12
2021-07-12 18:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 12
2021-07-12 21:00:00,341.0,,315.91305271827844,0.0,0.9675815734541402,Jul 12
2021-07-13 00:00:00,360.0,0.40143,315.0122943239522,0.0,0.06682317912787994,Jul 13
2021-07-13 03:00:00,340.0,0.573783333,315.96046105482196,0.0,1.0149899099976665,Jul 13
2021-07-13 06:00:00,328.0,0.6182,316.5293610933438,0.0,1.583889948519527,Jul 13
2021-07-13 09:00:00,339.0,0.641736364,316.00786939136543,0.0,1.062398246541136,Jul 13
2021-07-13 12:00:00,,0.61874,,,,Jul 13
2021-07-13 15:00:00,330.0,0.612642857,316.4345444202568,0.0,1.4890732754325313,Jul 13
2021-07-13 18:00:00,328.0,0.6736,316.5293610933438,0.0,1.583889948519527,Jul 13
2021-07-13 21:00:00,321.0,0.8517,316.8612194491482,0.0,1.9157483043239267,Jul 13
2021-07-14 00:00:00,320.0,0.973614286,316.90862778569175,0.0,1.963156640867453,Jul 14
2021-07-14 03:00:00,320.0,0.936171429,316.90862778569175,0.0,1.963156640867453,Jul 14
2021-07-14 06:00:00,330.0,0.8961,316.4345444202568,0.0,1.4890732754325313,Jul 14
2021-07-14 09:00:00,312.0,0.6553,317.2878944780397,0.0,2.342423333215379,Jul 14
2021-07-14 12:00:00,,0.435857143,,,,Jul 14
2021-07-14 15:00:00,340.0,0.34825,315.96046105482196,0.0,1.0149899099976665,Jul 14
2021-07-14 18:00:00,323.0,0.2977,316.7664027760613,0.0,1.8209316312369879,Jul 14
2021-07-14 21:00:00,345.0,0.42445,315.7234193721045,0.0,0.7779482272802056,Jul 14
2021-07-15 00:00:00,330.0,0.531736364,316.4345444202568,0.0,1.4890732754325313,Jul 15
2021-07-15 03:00:00,330.0,0.56417,316.4345444202568,0.0,1.4890732754325313,Jul 15
2021-07-15 06:00:00,330.0,0.512058333,316.4345444202568,0.0,1.4890732754325313,Jul 15
2021-07-15 09:00:00,340.0,0.417975,315.96046105482196,0.0,1.0149899099976665,Jul 15
2021-07-15 12:00:00,,0.2737,,,,Jul 15
2021-07-15 15:00:00,335.0,0.173328571,316.19750273753937,0.0,1.2520315927150705,Jul 15
2021-07-15 18:00:00,357.0,0.121485714,315.15451933358264,0.0,0.20904818875834508,Jul 15
2021-07-15 21:00:00,331.0,0.089525,316.38713608371336,0.0,1.4416649388890619,Jul 15
2021-07-16 00:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 16
2021-07-16 03:00:00,355.0,,315.24933600666964,0.0,0.3038648618453408,Jul 16
2021-07-16 06:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 16
2021-07-16 09:00:00,365.0,,314.7752526412347,0.0,-0.1702185035895809,Jul 16
2021-07-16 12:00:00,,,,,,Jul 16
2021-07-16 15:00:00,370.0,,314.53821095851725,0.0,-0.40726018630704175,Jul 16
2021-07-16 18:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 16
2021-07-16 21:00:00,350.0,,315.48637768938704,0.0,0.5409065445627448,Jul 16
2021-07-17 00:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 17
2021-07-17 03:00:00,360.0,,315.0122943239522,0.0,0.06682317912787994,Jul 17
2021-07-17 06:00:00,359.0,,315.05970266049565,0.0,0.11423151567134937,Jul 17
2021-07-17 09:00:00,375.0,,314.30116927579985,0.0,-0.6443018690244458,Jul 17
2021-07-17 12:00:00,,,,,,Jul 17
2021-07-17 15:00:00,380.0,,314.0641275930824,0.0,-0.8813435517419066,Jul 17
2021-07-17 18:00:00,390.0,,313.59004422764747,0.0,-1.3554269171768283,Jul 17
2021-07-17 21:00:00,359.0,,315.05970266049565,0.0,0.11423151567134937,Jul 17
2021-07-18 00:00:00,366.0,,314.72784430469125,0.0,-0.21762684013305034,Jul 18
